name,price,link
Plancha A Vapor Continuo Para Ropa Echef Jw172a Blanco,25.8,https://www.mercadolibre.com.ec/plancha-a-vapor-continuo-para-ropa-echef-jw172a/up/MECU3377106331#polycard_client=search-desktop&search_layout=grid&position=1&type=product&tracking_id=4c2ceea1-62b7-4e93-beb0-d25aaf1ad1ec&wid=MEC667191552&sid=search
Mandil Medico V Talla 42 Gran Oferta Blanco 42,15.75,https://www.mercadolibre.com.ec/mandil-medico-v-talla-42-gran-oferta/up/MECU3009598233#polycard_client=search-desktop&search_layout=grid&position=2&type=product&tracking_id=4c2ceea1-62b7-4e93-beb0-d25aaf1ad1ec&wid=MEC600212216&sid=search
Ropero Armable Organizador Ropa Tela Reforzada 130x45x175 Cm Closet Portátil Color Cafe,25.5,https://www.mercadolibre.com.ec/ropero-armable-organizador-ropa-tela-reforzada-130x45x175-cm-closet-portatil-color-cafe/p/MEC51733979#polycard_client=search-desktop&search_layout=grid&position=3&type=product&tracking_id=4c2ceea1-62b7-4e93-beb0-d25aaf1ad1ec&wid=MEC755340842&sid=search
Plancha Para Ropa A Vapor Ligera Marca Oster Color Gris,26.0,https://www.mercadolibre.com.ec/plancha-para-ropa-a-vapor-ligera-marca-oster-color-gris/p/MEC23895141#polycard_client=search-desktop&search_layout=grid&position=4&type=product&tracking_id=4c2ceea1-62b7-4e93-beb0-d25aaf1ad1ec&wid=MEC758979696&sid=search
Brasier De Silicona Freebra,10.23,https://articulo.mercadolibre.com.ec/MEC-755406424-brasier-de-silicona-freebra-_JM#polycard_client=search-desktop&search_layout=grid&position=5&type=item&tracking_id=4c2ceea1-62b7-4e93-beb0-d25aaf1ad1ec&wid=MEC755406424&sid=search
Máquina de coser Brother JX3135F portable blanca,197.11,https://www.mercadolibre.com.ec/maquina-de-coser-brother-jx3135f-portable-blanca/p/MEC15809892#polycard_client=search-desktop&search_layout=grid&position=6&type=product&tracking_id=4c2ceea1-62b7-4e93-beb0-d25aaf1ad1ec&wid=MEC529183445&sid=search
Máscara para dormir supercómoda en 3D Blackout Eye Cap a todo color negro,11.4,https://www.mercadolibre.com.ec/mascara-para-dormir-supercomoda-en-3d-blackout-eye-cap-a-todo-color-negro/p/MEC26095215#polycard_client=search-desktop&search_layout=grid&position=7&type=product&tracking_id=4c2ceea1-62b7-4e93-beb0-d25aaf1ad1ec&wid=MEC571988006&sid=search
Hoddie Streetwear Mastersophos Negro Synchro Mujer,49.99,https://articulo.mercadolibre.com.ec/MEC-717717846-hoddie-streetwear-mastersophos-negro-synchro-mujer-_JM?searchVariation=187446309900#polycard_client=search-desktop&searchVariation=187446309900&search_layout=grid&position=8&type=item&tracking_id=4c2ceea1-62b7-4e93-beb0-d25aaf1ad1ec
Plancha de Vapor Portátil Good Buy Mini Planchado en Viaje,7.0,https://www.mercadolibre.com.ec/plancha-de-vapor-portatil-good-buy-mini-planchado-en-viaje/p/MEC28915090#polycard_client=search-desktop&search_layout=grid&position=9&type=product&tracking_id=4c2ceea1-62b7-4e93-beb0-d25aaf1ad1ec&wid=MEC753624082&sid=search
Bobina De Hilo Para Cosedora De Sacos / 150 Gr X 2 Unidades Blanco,3.74,https://www.mercadolibre.com.ec/bobina-de-hilo-para-cosedora-de-sacos--150-gr-x-2-unidades/up/MECU2438986368#polycard_client=search-desktop&search_layout=grid&position=10&type=product&tracking_id=4c2ceea1-62b7-4e93-beb0-d25aaf1ad1ec&wid=MEC564424606&sid=search
